#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBC1E
#Date Time: 2022-03-11 15:51:22.415

Channel 1 (V),Math 1 (nA)
0.7403389422905524,-0.004534634002155702
0.7406771425755049,-0.004534634002155241
0.7410153428604573,-0.003521805956272051
0.7413535431454097,-0.003521805956272051
0.7416917434303623,-0.003521805956272051
0.7420299437153147,-0.003521805956272204
0.7423681440002671,-0.00385941530489986
0.7423681440002671,-0.00385941530489986
0.7430445445701719,-0.003859415304900167
0.7430445445701719,-0.004534634002155702
0.7433827448551245,-0.004534634002155702
0.7437209451400768,-0.004534634002155702
0.7437209451400771,-0.004534634002155702
0.7443973457099817,-0.004534634002155702
0.7443973457099817,-0.004534634002155702
0.7447355459949342,-0.004534634002155702
0.7450737462798867,-0.004534634002155702
0.745411946564839,-0.004872243350783512
0.7457501468497916,-0.004534634002155702
0.7460883471347439,-0.004872243350783358
0.7460883471347443,-0.004534634002155702
0.7467647477046488,-0.004534634002155702
0.7467647477046488,-0.004534634002155702
0.7471029479896013,-0.004534634002155702
0.7474411482745538,-0.004534634002155702
0.7477793485595061,-0.004872243350783512
0.7481175488444588,-0.004872243350783358
0.7484557491294112,-0.004534634002155702
0.7487939494143635,-0.004534634002155702
0.749132149699316,-0.004534634002155702
0.749132149699316,-0.004534634002155702
0.7494703499842684,-0.004534634002155702
0.7498085502692209,-0.004534634002155702
0.7501467505541732,-0.004872243350783512
0.7504849508391258,-0.004872243350783358
0.7508231511240782,-0.004534634002155702
0.7511613514090306,-0.004534634002155702
0.751161351409031,-0.004872243350783512
0.7518377519789355,-0.004872243350783512
0.7518377519789355,-0.004534634002155702
0.752175952263888,-0.004534634002155702
0.7525141525488405,-0.004534634002155702
0.7528523528337928,-0.004534634002155702
0.7531905531187453,-0.004872243350783512
0.7535287534036977,-0.004872243350783358
0.7535287534036977,-0.004534634002155702
0.7538669536886502,-0.004872243350783512
0.7542051539736027,-0.004872243350783512
0.7545433542585552,-0.004534634002155702
0.7548815545435075,-0.004534634002155702
0.7552197548284599,-0.004534634002155702
0.7555579551134124,-0.004534634002155702
0.7555579551134124,-0.004534634002155702
0.7562343556833173,-0.004872243350783512
0.7562343556833173,-0.004534634002155702
0.7565725559682699,-0.004534634002155702
0.7569107562532222,-0.004534634002155702
0.7572489565381746,-0.004534634002155702
0.7575871568231271,-0.004534634002155702
0.7579253571080795,-0.004534634002155702
0.758263557393032,-0.004872243350783512
0.7586017576779844,-0.004534634002155702
0.7586017576779845,-0.004534634002155702
0.7589399579629368,-0.004534634002155702
0.7592781582478894,-0.004872243350783512
0.7596163585328417,-0.004534634002155702
0.7599545588177942,-0.004872243350783512
0.7599545588177942,-0.004872243350783512
0.7606309593876991,-0.004534634002155702
0.7606309593876992,-0.004534634002155855
0.7609691596726517,-0.004872243350783358
0.7613073599576039,-0.004534634002155702
0.7616455602425564,-0.004534634002155702
0.7619837605275088,-0.004872243350783358
0.7619837605275088,-0.004534634002155702
0.7623219608124613,-0.004534634002155702
0.7626601610974139,-0.004534634002155702
0.7629983613823663,-0.004534634002155855
0.7633365616673187,-0.004872243350783512
0.763674761952271,-0.004872243350783512
0.7636747619522714,-0.004872243350783512
0.7643511625221759,-0.004872243350783512
0.7643511625221759,-0.004872243350783512
0.7650275630920809,-0.004872243350783512
0.765027563092081,-0.004872243350783512
0.7653657633770333,-0.004872243350783512
0.7657039636619858,-0.004872243350783512
0.7657039636619861,-0.004872243350783358
0.7663803642318906,-0.004534634002155702
0.7667185645168431,-0.004534634002155702
0.7667185645168431,-0.004534634002155702
0.767394965086748,-0.004534634002155702
0.767394965086748,-0.004534634002155702
0.7677331653717004,-0.004534634002155702
0.768071365656653,-0.004534634002155702
0.7684095659416053,-0.004534634002155702
0.7687477662265577,-0.004872243350783512
0.7687477662265577,-0.004872243350783512
0.7694241667964626,-0.004872243350783512
0.7694241667964626,-0.004872243350783512
0.7697623670814151,-0.004872243350783512
0.7701005673663675,-0.004872243350783512
0.7701005673663675,-0.004872243350783512
0.7707769679362724,-0.004872243350783512
0.7707769679362724,-0.004872243350783512
0.7711151682212249,-0.004872243350783512
0.7714533685061773,-0.004872243350783512
0.7717915687911298,-0.004872243350783512
0.7721297690760822,-0.004534634002155702
0.7721297690760822,-0.004534634002155702
0.7724679693610346,-0.004872243350783512
0.7728061696459871,-0.004872243350783512
0.7731443699309396,-0.004534634002155855
0.7734825702158921,-0.004872243350783512
0.7738207705008444,-0.004872243350783512
0.7738207705008444,-0.004534634002155702
0.7744971710707493,-0.004872243350783512
0.7744971710707493,-0.004872243350783512
0.7748353713557017,-0.004872243350783512
0.7751735716406543,-0.004872243350783512
0.7755117719256067,-0.004872243350783358
0.7758499722105591,-0.004534634002155702
0.7758499722105591,-0.004534634002155702
0.7765263727804641,-0.004534634002155702
0.7768645730654165,-0.004534634002155702
0.7768645730654165,-0.004534634002155702
0.7772027733503688,-0.004872243350783512
0.7775409736353214,-0.004534634002155702
0.7778791739202737,-0.004534634002155702
0.7782173742052262,-0.004534634002155702
0.7785555744901788,-0.004534634002155702
0.7788937747751311,-0.004534634002155702
0.7788937747751311,-0.004872243350783512
0.7795701753450359,-0.004534634002155702
0.779570175345036,-0.004534634002155702
0.7799083756299884,-0.004534634002155702
0.7802465759149408,-0.004534634002155702
0.7805847761998934,-0.004872243350783358
0.7809229764848458,-0.004534634002155702
0.7812611767697981,-0.004534634002155702
0.7815993770547507,-0.004534634002155702
0.781937577339703,-0.004534634002155855
0.781937577339703,-0.004872243350783512
