#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 20:18:37.325

,Name,Value
C1,Amplitude, 1.8066 V
C2,Amplitude, 3.7446 V
