#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:16.223

,Name,Value
C1,Amplitude, 1.1632 V
C2,Amplitude, 2.7052 V
