#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 20:18:36.300

,Name,Value
C1,Amplitude, 0.87747 V
C2,Amplitude, 2.1308 V
