#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:09.134

,Name,Value
C1,Amplitude, 0.54565 V
C2,Amplitude, 1.4045 V
