#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 20:18:35.713

,Name,Value
C1,Amplitude, 372.37 mV
C2,Amplitude, 0.98016 V
