#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:38.634

,Name,Value
C1,Amplitude, 3.1375 V
C2,Amplitude, 3.9003 V
