#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:06.893

,Name,Value
C1,Amplitude, 341.03 mV
C2,Amplitude, 0.88752 V
