#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:11.467

,Name,Value
C1,Amplitude, 0.74474 V
C2,Amplitude, 1.8436 V
