#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:08.187

,Name,Value
C1,Amplitude, 459.01 mV
C2,Amplitude, 1.1951 V
