#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 20:18:35.891

,Name,Value
C1,Amplitude, 0.53091 V
C2,Amplitude, 1.3637 V
