#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:14.388

,Name,Value
C1,Amplitude, 1.0010 V
C2,Amplitude, 2.3754 V
