#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:19.652

,Name,Value
C1,Amplitude, 1.4711 V
C2,Amplitude, 3.3055 V
