#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-26 16:02:11.897
#Sample rate: 1.42857e+07Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Average: 500
#Channel 1: Range: 50 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -5 V

#Time (s),Channel 1 (V),Channel 2 (V)
-0.00028672,-0.1511530522467695,1.416031712720486
-0.00028665,-0.1521029113985294,1.420093398911189
-0.00028658,-0.1529689594486653,1.425349698687449
-0.00028651,-0.1531645186857903,1.431603852164502
-0.00028644,-0.1534019834737324,1.436677446333536
-0.00028637,-0.1537372278802369,1.440106690037843
-0.0002863,-0.1550223314385007,1.443381336689867
-0.00028623,-0.1555112295313151,1.447710054152634
-0.00028616,-0.1566985534710172,1.453865827687394
-0.00028609,-0.1569499867758948,1.46061188087614
-0.00028602,-0.1570896719452718,1.46735793406489
-0.00028595,-0.1571874515638346,1.473148296385234
-0.00028588,-0.1578998459276547,1.478545138936244
-0.00028581,-0.1591430439351043,1.483941981487223
-0.00028574,-0.1607214863490611,1.490533437623753
-0.00028567,-0.1607354548659995,1.495705411735116
-0.0002856,-0.1610148252047507,1.500090346307812
-0.00028553,-0.1619227788056988,1.50351959001208
-0.00028546,-0.1617411880855099,1.507511004815444
-0.00028539,-0.1615456288483824,1.511179171236799
-0.00028532,-0.1617830936363222,1.514552197831194
-0.00028525,-0.1630681971945856,1.518164147142668
-0.00028518,-0.1640320248632845,1.524263703567498
-0.00028511,-0.1647025136762901,1.531108136698581
-0.00028504,-0.1644231433375388,1.537376344453139
-0.00028497,-0.1654149080401107,1.542969946888784
-0.0002849,-0.1659038061329304,1.547650021288512
-0.00028483,-0.1663787357088089,1.552751724012493
-0.00028476,-0.1672866893097576,1.556237184826691
-0.00028469,-0.1680549577413283,1.560846987839
-0.00028462,-0.1687254465543333,1.566482753107073
-0.00028455,-0.168921005791461,1.572216898317522
-0.00028448,-0.1691584705794038,1.578189966245079
-0.00028441,-0.1704435741376646,1.584022491397831
-0.00028434,-0.1709324722304849,1.590712327476694
-0.00028427,-0.1716448665943053,1.59683999245647
-0.0002842,-0.1719382054499942,1.603290905818203
-0.00028413,-0.172175670237934,1.608125577270138
-0.00028406,-0.17298584422032,1.612889977334705
-0.00028399,-0.1732791830760088,1.616754903640754
-0.00028392,-0.1735166478639486,1.619411162083822
-0.00028385,-0.1733769626945748,1.622727971568312
-0.00028378,-0.1739915774398303,1.626677223539216
-0.00028371,-0.1749973106593398,1.63072485545248
-0.00028364,-0.1743407903632708,1.63525033279993
-0.00028357,-0.1751369958287175,1.639255801880728
-0.0002835,-0.1753884291335946,1.644160744720046
-0.00028343,-0.1757655790909111,1.649079741836879
-0.00028336,-0.1761986031159777,1.653324133634781
-0.00028329,-0.1774837066742418,1.658327456416454
-0.00028322,-0.1774976751911776,1.663724298967429
-0.00028315,-0.1770646511661148,1.666731914347442
-0.00028308,-0.1772043363354912,1.667561116718531
-0.00028301,-0.1782519751058131,1.669809801114782
-0.00028294,-0.1788805583680071,1.674279061352333
-0.00028287,-0.179453267562451,1.679099678526794
-0.0002828,-0.1801237563754602,1.683582993041824
-0.00028273,-0.1798443860367059,1.688445773048701
-0.00028266,-0.1794113620116361,1.692071776637678
-0.00028259,-0.1802634415448368,1.695346423289719
-0.00028252,-0.1813669543829088,1.700152986186704
-0.00028245,-0.1811853636627205,1.704355215152191
-0.00028238,-0.1812272692135328,1.706870930820507
-0.00028231,-0.1820374431959141,1.709372592211333
-0.00028224,-0.1823307820516077,1.713026704355229
-0.00028217,-0.1823307820516077,1.716118645400088
-0.0002821,-0.1832806412033672,1.719294912109796
-0.00028203,-0.1836717596776224,1.723145784138376
-0.00028196,-0.1836717596776224,1.726954493334492
-0.00028189,-0.1839092244655621,1.730186977154094
-0.00028182,-0.1847193984479438,1.733700546523241
-0.00028175,-0.185250202091577,1.73717195305995
-0.00028168,-0.1851105169221985,1.740067134220119
-0.00028161,-0.185250202091577,1.741809864627244
-0.00028154,-0.1858229112860206,1.743397997982097
-0.00028147,-0.1862559353110856,1.745562356713461
-0.0002814,-0.1863537149296517,1.749118088915029
-0.00028133,-0.1865911797175916,1.752210029959884
-0.00028126,-0.1869264241240952,1.756103064820883
-0.00028119,-0.1879740628944168,1.760249076676475
-0.00028112,-0.1878902517927938,1.764296708589743
-0.00028105,-0.188644551707426,1.768822185937201
-0.00028098,-0.189035670181681,1.773783345886411
-0.00028091,-0.1892731349696209,1.77693150404116
-0.00028084,-0.1896083793761245,1.778336931788803
-0.00028077,-0.1897061589946861,1.778632071615815
-0.0002807,-0.1906560181464459,1.780304530635559
-0.00028063,-0.1910471366207006,1.78314349468579
-0.00028056,-0.191522066196583,1.786179218620757
-0.00028049,-0.1912426958578275,1.788976019838598
-0.00028042,-0.1917595309845228,1.791674441114081
-0.00028035,-0.1915779402643336,1.795089630540902
-0.00028028,-0.1918573106030843,1.797605346209171
-0.00028021,-0.1925277994160937,1.800584853034242
-0.00028014,-0.1927233586532209,1.8041968023457
-0.00028007,-0.1934357530170413,1.806473595296895
-0.00028,-0.193254162296852,1.807682263159898
-0.00027993,-0.1932960678476645,1.809410939289502
-0.00027986,-0.1933938474662258,1.811673677963224
-0.00027979,-0.1933938474662258,1.8130791057109
-0.00027972,-0.1933938474662258,1.814568859123395
-0.00027965,-0.1938687770421082,1.817211063289019
-0.00027958,-0.194776730643055,1.820485709941058
-0.00027951,-0.1943576751349242,1.824814427403802
-0.00027944,-0.1940643362792356,1.829058819201723
-0.00027937,-0.195251660218933,1.832628605680807
-0.0002793,-0.1950281639479339,1.835045941406749
-0.00027923,-0.1956846842440004,1.836830834646296
-0.00027916,-0.1956008731423776,1.838039502509249
-0.00027909,-0.1956427786931878,1.839768178638899
-0.00027902,-0.1962154878876314,1.841075226444216
-0.00027895,-0.1973609062765181,1.844237438876437
-0.00027888,-0.1968021655990135,1.847329379921264
-0.00027881,-0.1964110471247588,1.848833187611264
-0.00027874,-0.1978358358524004,1.852473245477682
-0.00027867,-0.197235189624081,1.855761946407231
-0.0002786,-0.1974586858950849,1.856548985945894
-0.00027853,-0.1975145599628359,1.857743599531425
-0.00027846,-0.1976542451322122,1.857518731091775
-0.00027839,-0.1977520247507733,1.858179282133171
-0.00027832,-0.1979894895387134,1.858572801902512
-0.00027825,-0.1990371283090396,1.860006338205147
-0.00027818,-0.1996657115712316,1.861313386010465
-0.00027811,-0.1988136320380381,1.86471452115981
-0.00027804,-0.1991349079276008,1.86671022856148
-0.00027797,-0.1987158524194718,1.869155672842368
-0.0002779,-0.1986599783517238,1.871235705908925
-0.00027783,-0.1999450819099868,1.873638987357392
-0.00027776,-0.1994841208510428,1.874664949613217
-0.00027769,-0.1990930023767883,1.875719020423951
-0.00027762,-0.1998053967406107,1.875634694759098
-0.00027755,-0.2005736651721816,1.876154703025697
-0.00027748,-0.2007692244093089,1.877405533721119
-0.00027741,-0.2005317596213689,1.878515821641796
-0.00027734,-0.2004339800028027,1.880005575054276
-0.00027727,-0.2009089095786849,1.881692088351459
-0.0002772,-0.2003920744519928,1.884095369799978
