Temperatura [°C],,Time [ms],pm [ms],Speed [m/s],pm [m/s]
15,1,3.44,0.06,343.02,0.02
17,1,3.42,0.06,345.03,0.02
18,1,3.42,0.06,345.03,0.02
19,1,3.4,0.06,347.06,0.02
20,1,3.38,0.06,348.98,0.02
