#Digilent WaveForms Logic Analyzer SPI
#Device Name: Discovery2NI
#Serial Number: SN:210321AD118C
#Date Time: 2022-04-12 14:44:03.1000

Time (s),Data
0.02157,b11011101
0.02173,b11011101
0.02189,b10111011
0.02205,b10110110
0.02221,b11011101
0.02237,b10110110
0.02253,b10110110
0.02269,b10110101
0.02285,b10101101
0.02301,b01010110
0.02317,b01101010
0.02333,b10101001
0.02349,b10011001
0.02365,b01001010
0.02381,b01100010
0.02397,b10010010
0.02413,b10010010
0.02429,b01000100
0.02445,b10010001
0.02461,b00010001
0.02477,b00010001
0.02493,b000UUUUU
