#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2021-10-01 18:10:32.174
#Sample rate: 500000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C2 - C1
#Wavegen Channel 1: Disabled
#Mode: Custom
#Type: Custom1
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

#Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-0.00265,-0.5728912353515625,0.5001449584960938,1.073036193847656
-0.002647999999999999,-0.5702209472656213,0.5000686645507813,1.070289611816402
-0.002646000000000001,-0.5621337890625037,0.4999542236328126,1.062088012695316
-0.002644000000000001,-0.5475234985351629,0.5001831054687499,1.047706604003913
-0.002642,-0.5274200439453125,0.5004501342773438,1.027870178222656
-0.00264,-0.5032730102539063,0.4999923706054688,1.003265380859375
-0.002638,-0.4704666137695313,0.5003738403320313,0.9708404541015625
-0.002635999999999999,-0.4354858398437327,0.5001831054687501,0.9356689453124828
-0.002633999999999999,-0.3975677490234186,0.5003356933593749,0.8979034423827936
-0.002632000000000001,-0.3561019897461126,0.5001831054687501,0.8562850952148626
-0.00263,-0.3114700317382813,0.5001449584960938,0.811614990234375
-0.002628,-0.2582931518554688,0.5002212524414063,0.758514404296875
-0.002626,-0.2080917358398438,0.5002593994140625,0.7083511352539063
-0.002624,-0.1560211181640625,0.5002212524414063,0.6562423706054688
-0.002621999999999999,-0.1025390624999753,0.5002975463867186,0.602836608886694
-0.002620000000000001,-0.0482177734375247,0.5001449584960939,0.5483627319336185
-0.002618000000000001,0.01502990722653375,0.5001449584960938,0.48511505126956
-0.002616,0.07129669189453125,0.4999923706054688,0.4286956787109375
-0.002614,0.1285934448242188,0.5003738403320313,0.3717803955078125
-0.002612,0.1848220825195313,0.5000686645507813,0.31524658203125
-0.002609999999999999,0.2410507202148722,0.5000686645507814,0.2590179443359092
-0.002607999999999999,0.3036117553711185,0.5004119873046873,0.1968002319335688
-0.002606000000000001,0.3580474853515377,0.4999542236328127,0.141906738281275
-0.002604,0.4108810424804447,0.5001449584960936,0.08926391601564894
-0.002602,0.4633331298828125,0.4999542236328125,0.03662109375
-0.0026,0.5137252807617188,0.5003738403320313,-0.0133514404296875
-0.002598,0.56121826171875,0.4999923706054688,-0.06122589111328125
-0.002595999999999999,0.6133651733398637,0.5001068115234376,-0.1132583618164262
-0.002593999999999999,0.6573486328125188,0.5003356933593749,-0.1570129394531439
-0.002592000000000001,0.6986999511718562,0.5001449584960939,-0.1985549926757624
-0.00259,0.7384109497070313,0.5002975463867188,-0.2381134033203125
-0.002588,0.77484130859375,0.5004119873046875,-0.2744293212890625
-0.002586,0.8120346069335938,0.5004119873046875,-0.3116226196289063
-0.002583999999999999,0.8429336547851691,0.500335693359375,-0.3425979614257941
-0.002581999999999999,0.8712768554687613,0.500335693359375,-0.3709411621093863
-0.002580000000000001,0.8961486816406137,0.5002593994140625,-0.3958892822265512
