#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-19 18:53:49.600
#Start: 100 Hz
#Stop: 5e+06 Hz
#Steps: 1001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49264 V
#Offset: 0.000293069 V
#Relative: no
#Channel: Channel 2
#Range: 5.52637 V
#Offset: 0.000302154 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-20.84940918449358,15.87859631061782,-0.006121809168287484
101.0878523765327,-20.84848883824628,15.87776352729128,-0.01323330657138975
102.1875389809967,-20.84787700264867,15.87683722161348,-0.007531074523083703
103.299188552322,-20.84861631537308,15.87756639753061,-0.01304593445245739
104.4229312299275,-20.84747752747437,15.87675413549604,-0.01339232531352712
105.5588985689574,-20.84981640226711,15.87845053828974,-0.01607454744583237
106.7072235556815,-20.84849014827497,15.87736901069719,-0.009869972865055842
107.8680406230641,-20.84794397812029,15.87673050244569,-0.0205496394805877
109.0414856665016,-20.85189845349898,15.88027340218333,-0.02086442443774121
110.2276960597312,-20.84832873873044,15.87729536143565,-0.01485704887401198
111.4268106709143,-20.84758979363912,15.87681157342625,-0.02198225248434404
112.6389698788924,-20.84832555811731,15.87724510940868,-0.01531251437479924
113.8643155896222,-20.84895736695852,15.87765558101679,-0.02379332589348025
115.1029912527866,-20.84920851461922,15.87814532019799,-0.02159218653640522
116.3551418785903,-20.8477907230837,15.87702462338711,-0.01451056233643016
117.6209140547345,-20.84767114882228,15.87659755531261,-0.02487495733953295
118.9004559635785,-20.84821299008102,15.87705710895706,-0.01989101857891633
120.1939173994868,-20.84890129680371,15.87780369468184,-0.01980216006142008
121.5014497863648,-20.84939749153162,15.87837803015246,-0.02097634010734808
122.8232061953875,-20.84972670527196,15.87854958006355,-0.02103260523557822
124.1593413629177,-20.84865827271483,15.87767909132791,-0.01365161040576837
125.5100117086216,-20.84924864417447,15.87842096597303,-0.02331014876472182
126.8753753537806,-20.84796863533599,15.87666712519621,-0.02436193023102327
128.2555921398015,-20.84866269587867,15.87774390109829,-0.03070747156516447
129.6508236469304,-20.84847568368007,15.87720845779472,-0.02600594162925773
131.0612332131678,-20.84903957360132,15.87794247794949,-0.01726867370431222
132.4869859533906,-20.84722491018325,15.87640154860328,-0.01045951196220543
133.9282487786811,-20.85072951632311,15.88014728929162,-0.03250596350358492
135.3851904158687,-20.84922053891365,15.87832997729316,-0.01114755122095765
136.8579814272811,-20.84902459023068,15.87818103074479,-0.01537304816760212
138.3467942307124,-20.84844596633803,15.87759166506651,-0.02297525220491465
139.8518031196084,-20.84839446736485,15.87762691260804,-0.01873402878943988
141.3731842834689,-20.84800257370582,15.87690583443885,-0.01037364812339803
142.9111158284766,-20.84976361953602,15.87878788898679,-0.01891018815257155
144.4657777983461,-20.84924180654495,15.87813280596872,-0.01965622211135951
146.0373521954019,-20.84916097206851,15.87861130104359,-0.01578525659480761
147.6260230018853,-20.84776336971562,15.87664234412552,-0.02556876593998485
149.2319762014921,-20.84909016257692,15.87859610921857,-0.03649463371060904
150.8553998011467,-20.84991240013166,15.87966163122508,-0.03477246604373434
152.4964838530115,-20.84811947082599,15.87734986068673,-0.01640501244599317
154.1554204767356,-20.84895565445672,15.87822120913069,-0.01202826967499959
155.8324038819458,-20.84828690994998,15.87733703463148,-0.03004978218187393
