#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-23 00:59:15.591

Channel 1 (V),Channel 2 (V)
1.484301248974099,-3.67422361945401
1.487122753452142,-3.674347231408763
1.493113326148871,-3.674380730858543
1.498808582451497,-3.674057495590116
1.504569444954481,-3.673574076611993
1.510536694922887,-3.673901729832386
1.516083063199409,-3.6742485870869
1.521583981601886,-3.674210461220744
1.527445137103193,-3.674122849270905
1.533363043288397,-3.674048304664915
1.538935272900118,-3.674629594439535
1.544332545678438,-3.674409594039796
1.549810894249044,-3.674468688556206
1.55496015589089,-3.674956720770302
1.560427057403353,-3.674825912265939
1.566325378286709,-3.673953602110625
1.571939942451087,-3.674190604277725
1.577150587448855,-3.674247150028267
1.582474328921904,-3.673931290167176
1.587677411189701,-3.674038374157845
1.593002247433242,-3.674576680369815
1.598599315967527,-3.674555302578683
1.603739159259947,-3.674095482174429
1.608844501998909,-3.673750627389811
1.61424657754834,-3.673983223356516
1.619425851156675,-3.674479936957348
1.624418823753992,-3.674918114903667
1.629571840971902,-3.674748525103878
1.634665571639969,-3.674968608967678
1.639591705377017,-3.67574319583052
1.644536472386765,-3.676000884690522
1.649531830247952,-3.67533015194182
1.654540431959481,-3.675036129091414
1.659628591082446,-3.675327205340873
1.66446800864411,-3.675632541251785
1.6692862686646,-3.674907186188022
1.673907359992987,-3.675347112764739
1.678707435563829,-3.675647784763312
1.683474891801168,-3.676083405249454
1.688246971584269,-3.67610010398558
1.692869232829296,-3.67647691654714
1.697558829794273,-3.676251555193095
1.702202994701217,-3.676491219120561
1.706812414637247,-3.676724644830524
1.711287338875003,-3.676702528578819
1.71579654456792,-3.677120872972523
1.720423759101409,-3.677376504184645
1.724739949966948,-3.677788718093516
1.72921797935975,-3.677407320304461
1.733617988906454,-3.677578012106238
1.737752182286506,-3.677458221911941
1.742080157641404,-3.677397952594
1.746532757572461,-3.678155493791978
1.750855246383399,-3.677548202902973
1.754974910850584,-3.677302914533638
1.759083161904668,-3.678150762329349
1.763305621586701,-3.678452111725431
1.767448829774614,-3.678584436178695
1.771345833891655,-3.677939112287928
1.775387134690957,-3.678048955379813
1.779459136762521,-3.67829941316812
1.783387035741311,-3.678042934429038
1.787347777732568,-3.678648437916232
1.791158371835194,-3.678923996911573
1.795187030044228,-3.679218003474065
1.799084948554288,-3.679726042489645
1.802780805293804,-3.67980655220749
1.806505338250204,-3.680003003882158
1.810212605021007,-3.680106532924387
1.813953738476451,-3.679391416787654
1.817647357289538,-3.679495340268131
1.821213222448608,-3.679231359226832
1.82471548154625,-3.67931150399119
1.82837384284521,-3.679754370492292
1.831974134445983,-3.679449132260972
1.835488308166551,-3.679197412294587
1.838933601169412,-3.679652482658253
1.842203580701842,-3.679946128805629
1.845572345620891,-3.67976072586866
1.848873574522851,-3.68031194754152
1.85231214238371,-3.680794182841911
1.85552450007117,-3.680701723923029
1.858740390382997,-3.680943546059986
1.861822938439577,-3.681156352144378
1.86493194635536,-3.680629380687808
1.868006970137747,-3.681316185860608
1.871249970838076,-3.681766027024287
1.874307794181123,-3.681654297617176
1.877357761291587,-3.681241659625854
1.880417648406821,-3.681475137482261
1.883294221831656,-3.68231578716893
1.886089897323276,-3.682295612473077
1.888965557660091,-3.682400999275602
1.891736528134703,-3.682719014294801
1.894564436383687,-3.682543824516667
1.89747601586379,-3.682655773988699
1.900097824547001,-3.682528990108109
1.902609807380419,-3.682502111310042
1.905323712970109,-3.682238678080749
1.907933149004035,-3.68257528123275
1.910503793937669,-3.68292564096319
1.913108125101748,-3.68326723378071
1.915728688198612,-3.682477776493672
1.918198647079202,-3.682556574071532
1.920541972143292,-3.682636671926421
1.922988345364762,-3.682916431635454
1.925372514680484,-3.682976332088489
1.927634925640237,-3.682993436532088
1.929880511364835,-3.683128447200313
1.932156907795133,-3.683644689749424
1.934276625329423,-3.683816956449176
1.936560359407279,-3.682955874124436
1.938656410739603,-3.68299784261898
1.940729051224539,-3.682971129829001
1.942872693426073,-3.683091958659689
1.94480792868175,-3.683517004592277
1.946638069896948,-3.683090461003106
1.948635909556375,-3.682914384384468
1.950561126397824,-3.683240315733984
1.952408200980206,-3.683175342672738
1.954219366187239,-3.683813034007609
1.955909109115622,-3.684188038289508
1.957608461454558,-3.683593845424409
1.959363522305123,-3.683663275634963
1.961196573858874,-3.68384583402332
1.962750365576494,-3.683685936598704
1.96427937821007,-3.684180481366406
1.966023070773589,-3.684526880979266
1.96749191352438,-3.684034771628185
1.968890995299873,-3.684075627657381
1.970230231166384,-3.684549939394825
1.971536604989023,-3.68469163665587
1.972901839708719,-3.684488340082483
1.97422041327855,-3.68488153357422
1.975541764225938,-3.685680443235773
1.976921865575594,-3.68508872170834
1.97807411656757,-3.683666882312822
1.979190261887051,-3.683967986213619
1.980484970001371,-3.683901858079801
1.981557378705924,-3.684034493663815
1.982636067610793,-3.683830940071035
1.983636684225484,-3.684064398024828
1.984603716074183,-3.684357000575982
1.985471766868747,-3.684480894647589
1.986508893310852,-3.684614832536641
1.987283574076978,-3.684652259819635
1.988137497480769,-3.683521626112835
1.988838131499816,-3.683694634534389
1.989614654930627,-3.684096324176901
1.990376252330835,-3.684248203742641
1.990853829954628,-3.684220942967912
1.991621176099641,-3.684194640408829
1.992233236705656,-3.684540043213163
1.99253840985336,-3.684465039305576
1.993127182383602,-3.683891512676588
1.993721066429619,-3.684154132331502
1.994114774621026,-3.684251746539744
1.994335739669547,-3.684398357082399
1.994744127304114,-3.684790888821001
1.995171163682808,-3.68492178286864
1.995489293601106,-3.684620322759792
1.995894485945751,-3.684403348522124
1.996007709425777,-3.684365782494804
1.996017180812421,-3.684401895184185
1.99597633653101,-3.684352715162449
1.995961115959801,-3.684060831537888
1.99596397376287,-3.684011551134233
1.9959223645871,-3.684007939632276
1.99588646870012,-3.683993782736914
1.995885743583363,-3.684296903352076
1.995862697648454,-3.684170066305589
1.995837494219188,-3.683891608693738
1.995826377204083,-3.683902111217748
1.995785753854226,-3.684267731544607
1.995500699273475,-3.684573608287384
1.995114661945631,-3.684223242292798
1.994719231312821,-3.684162931997553
1.994237838826721,-3.68410496125206
1.993795415486485,-3.684147156912593
1.993582437112208,-3.684095166227107
1.993037518299164,-3.684598057724772
1.992395887945416,-3.684440318460595
1.991939945454733,-3.684369269387347
1.991581667504457,-3.684093669780656
1.990817766754555,-3.683976458778992
1.990004569076784,-3.683821770477377
1.989438778920351,-3.683516138378268
1.988645620922346,-3.683193725445908
1.987825590751146,-3.684060041989964
1.987015129312034,-3.684042451089488
1.986152018423105,-3.683630132235008
1.985262773539913,-3.683430579231359
1.98421323845698,-3.683205116921586
1.983324713700371,-3.683212708689551
1.982248919686662,-3.683519883189526
1.981212959271553,-3.683320227958474
1.980039501731576,-3.683330294459139
1.978913577439905,-3.682747804764136
1.977567590243111,-3.684253402615057
1.976412580874953,-3.684672263675608
1.975157277340029,-3.684556194680462
1.97378057027241,-3.684353435138311
1.972406940853791,-3.684439319278801
1.971033541249196,-3.684130510876953
1.969653724569464,-3.684124437055387
1.9682905770428,-3.68359391805659
1.966885726167748,-3.683790158336709
1.965435376485728,-3.68330552504982
1.963847343611646,-3.683124281131707
1.962017686977149,-3.683645342642951
1.96047106425496,-3.683193022061721
1.958809976482488,-3.682870401689354
1.956942454012922,-3.68351619587047
1.955159154663511,-3.683485775032075
1.95345767193154,-3.682843258016215
1.951768563588675,-3.682773098553914
1.949882111871117,-3.682558898598996
1.947999581621116,-3.682617093832487
1.945972561030993,-3.682618552860159
1.944003459634142,-3.68253779123952
1.942073197739099,-3.682093813913764
1.9400623420772,-3.68192706512545
1.937895006221059,-3.681847777352433
1.935757588623394,-3.682599632434802
1.93356103388926,-3.682487828678299
1.931363473142748,-3.682141627891329
1.929245293041085,-3.681863333131682
1.926893521382345,-3.682307415854339
1.924564785410776,-3.682550812790638
1.922179580806709,-3.682406389282976
1.919757414023363,-3.68203356154807
1.917282698032863,-3.681714682797496
1.914901815319993,-3.682507239914504
1.912309048359217,-3.682057151106773
1.909708056984857,-3.681869553411925
1.907090031689056,-3.681513176720971
1.904563964433497,-3.68167933467155
1.901794278030328,-3.681804703704901
1.899042625294989,-3.681603575453908
1.896536488322784,-3.681559080928062
1.89362561082461,-3.682299828060129
1.890766035514655,-3.682325346060532
1.887951250735171,-3.681796868561642
1.885179085911091,-3.682116634642135
1.882229533685376,-3.681694874691842
1.87935811266257,-3.681258550891632
1.876343691931621,-3.681388685230149
1.873179173702292,-3.68153039724051
1.870149024274335,-3.681327687978346
1.866957572042383,-3.680677836988322
1.863778686988463,-3.680674489141584
1.860716607606385,-3.680503098194229
1.857613110740086,-3.680293946976754
1.854378394856068,-3.680613525090172
1.851113199400027,-3.680058012748145
1.847812338073711,-3.679579862822373
1.844348042126636,-3.680152604923979
1.841115794650154,-3.680121559910019
1.837597872979299,-3.67961568260406
1.834265175365837,-3.679332564716066
1.830759036464066,-3.67959230675119
1.82714937689813,-3.679148632988147
1.823526834881002,-3.678801569911025
1.81997621460809,-3.678694832065891
1.816432106027745,-3.678517236338454
1.812680128386622,-3.679632903081202
1.808885878755976,-3.67965810570468
1.805104724760785,-3.679427358717026
1.801393464481396,-3.679215291723395
1.797784231581579,-3.679160201303174
1.793941629195976,-3.679006936240476
1.789824278185113,-3.679231309388072
1.785824399831259,-3.678703501454628
1.781941950539376,-3.67885107283371
1.777946392578184,-3.678357372469383
1.774102539859558,-3.678162132288097
1.769903556183369,-3.678450288819767
1.765841436455473,-3.67782280939426
1.761878973161891,-3.677523917175335
1.757698613083453,-3.677389088760351
1.753558960062692,-3.677644766786908
1.749325673944039,-3.67794170439251
1.745077934496925,-3.677708194638501
1.740662087470276,-3.677659536221266
1.736166525444706,-3.677581180802323
1.731951789453315,-3.677267848996551
1.727715828678301,-3.677785617207445
1.723148917735466,-3.677488282806844
1.718698985356585,-3.677262954145847
1.714337682700732,-3.676903136367105
1.709751404559119,-3.677063931737862
1.705027606824871,-3.677324337990374
1.700451890515382,-3.677097701235551
1.695753748743213,-3.677123968090029
1.691180466446567,-3.676608882936367
1.686543609693504,-3.676535594546877
1.681821010756033,-3.676047207459483
1.676965031611753,-3.675682603146113
1.672117462602051,-3.675449757901878
1.66740362758211,-3.675997629341129
1.662689075988298,-3.675452129217637
1.65782921291332,-3.674563195686243
1.652866208077788,-3.674399838296468
1.647853606456395,-3.674982517083666
1.642870796813157,-3.674700724270571
1.637662642467242,-3.67445930857572
1.632685648507652,-3.674212491274438
1.627784922057033,-3.674164229656391
1.622611497231316,-3.674059847491315
1.617441514986038,-3.673814042072802
1.612385743363589,-3.673183661491199
1.607072474363928,-3.672675336816377
1.601798830071683,-3.672529010039214
1.596655902427004,-3.67238621007747
1.591349178961944,-3.671503002177006
1.585732419009417,-3.671495740438995
1.580585035736579,-3.671131936671772
1.575223708735786,-3.671440538368369
1.569824312614627,-3.671114455298647
1.564563333934014,-3.671245775174745
1.558903794979841,-3.67037552326823
1.552955856291534,-3.67052147836774
1.547555384968906,-3.670199901381375
1.542286222979521,-3.670170395071359
1.536838977333654,-3.670193594940219
1.531242981938523,-3.669648372337821
1.525525767725847,-3.669586819816927
1.519564840138234,-3.669226251556405
1.513914750927148,-3.668914151905043
1.508363318988396,-3.668489092520568
1.502622532659236,-3.667877419054623
1.496664598295294,-3.667637151370533
1.490968420830362,-3.667314825581664
1.485075064982015,-3.666359778105891
1.479106638907628,-3.66653360704661
1.473173171266601,-3.665767132516428
1.467165132545606,-3.66568548058073
1.46108589010381,-3.665983052822191
1.455007270590347,-3.665506176625248
1.448958928008661,-3.66514452453506
1.443141171816137,-3.665477541401697
1.43718436883076,-3.664962935611563
1.431020833949823,-3.664324929515268
1.424722704488518,-3.66381365611604
1.41838641940113,-3.663635107185139
1.412240311992258,-3.662798673166868
1.406348088678377,-3.662701278644943
1.399815430801993,-3.663267892181756
1.393300562780771,-3.66276501101951
1.386974557082486,-3.662065832500248
1.38087765287246,-3.661928777552073
1.374467535915892,-3.66227454218488
1.367985426579903,-3.661807536400729
1.361745190137439,-3.661646659890205
1.355297324077534,-3.662186347761597
1.348705555142955,-3.661279398572681
1.342288068484736,-3.660588339389784
1.335756007620876,-3.660980232529023
1.329153901570359,-3.660249968100644
1.322821106370033,-3.660130077755877
1.316163444269833,-3.660672040067479
1.30938021364691,-3.659615449912689
1.302686950650101,-3.659264931346775
1.296069516145828,-3.659873963416114
1.289431848954705,-3.659703701218579
1.282489369234577,-3.659118201267952
1.275905182007197,-3.659323771197891
1.268876812468972,-3.659416857318371
1.262201232637422,-3.658636677322914
1.255478613468138,-3.658157205216454
1.248755744958183,-3.657835649243083
1.241869051558737,-3.657176176874695
1.234922680851488,-3.657601065732476
