#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: DEMO
#Date Time: 2021-09-30 18:11:10.030
#Sample rate: 2.85714e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X

#Time (s),Channel 1 (V),Channel 2 (V)
-0.0057344,0.000640869140625,0.600067138671875
-0.00573405,0.002166748046872224,0.6004333496093743
-0.0057337,0.0040283203125,0.600189208984375
-0.00573335,0.005523681640625,0.6002197265625
-0.005732999999999999,0.006896972656253664,0.6001586914062501
-0.00573265,0.0089111328125,0.6002197265625
-0.0057323,0.01101684570312117,0.6000366210937503
-0.00573195,0.0123291015625,0.60040283203125
-0.0057316,0.01446533203125,0.600067138671875
-0.005731249999999999,0.01654052734375222,0.6003112792968748
-0.0057309,0.01776123046875,0.60015869140625
-0.00573055,0.019409179687497,0.6004943847656243
-0.0057302,0.02166748046875,0.5999755859375
-0.00572985,0.02362060546875,0.60040283203125
-0.005729499999999999,0.02529907226562833,0.600341796875
-0.00572915,0.027130126953125,0.600341796875
-0.0057288,0.0284423828125,0.599945068359375
-0.00572845,0.02984619140625,0.600494384765625
-0.0057281,0.032012939453125,0.600128173828125
-0.005727749999999999,0.03369140625000355,0.6000061035156254
-0.0057274,0.03564453125,0.600250244140625
-0.00572705,0.03680419921875,0.600494384765625
-0.005726699999999999,0.039154052734375,0.599945068359375
-0.00572635,0.040496826171875,0.60052490234375
-0.005725999999999999,0.04272460937500216,0.5999450683593757
-0.00572565,0.043914794921875,0.60028076171875
-0.0057253,0.0462646484375,0.60028076171875
-0.005724949999999999,0.0477294921875,0.600494384765625
-0.0057246,0.049560546875,0.600372314453125
-0.005724249999999999,0.05142211914062805,0.6000976562500007
-0.0057239,0.0531005859375,0.600433349609375
-0.00572355,0.054718017578125,0.600128173828125
-0.005723199999999999,0.0565185546875,0.60009765625
-0.00572285,0.05853271484375,0.600189208984375
-0.0057225,0.06030273437499678,0.5999450683593754
-0.00572215,0.0616455078125,0.600311279296875
-0.0057218,0.063812255859375,0.60015869140625
-0.005721449999999999,0.06561279296875,0.600341796875
-0.0057211,0.067047119140625,0.600006103515625
-0.00572075,0.06915283203124617,0.6004943847656241
-0.0057204,0.070709228515625,0.600555419921875
-0.00572005,0.072601318359375,0.600067138671875
-0.005719699999999999,0.073974609375,0.600067138671875
-0.00571935,0.075958251953125,0.600494384765625
-0.005719,0.07772827148437178,0.6000976562500007
-0.00571865,0.079437255859375,0.600067138671875
-0.0057183,0.0810546875,0.600311279296875
-0.005717949999999999,0.082672119140625,0.60028076171875
-0.0057176,0.084686279296875,0.60003662109375
-0.00571725,0.08630371093749706,0.6001281738281248
-0.0057169,0.088226318359375,0.600250244140625
-0.00571655,0.08984375,0.60052490234375
-0.005716199999999999,0.09179687500000328,0.6000671386718758
-0.00571585,0.093597412109375,0.600494384765625
-0.0057155,0.09542846679687167,0.60052490234375
-0.00571515,0.096771240234375,0.60003662109375
-0.0057148,0.098663330078125,0.600006103515625
-0.005714449999999999,0.1002502441406282,0.6000061035156254
-0.0057141,0.102020263671875,0.600250244140625
-0.00571375,0.1039733886718714,0.6000671386718753
-0.0057134,0.105316162109375,0.60009765625
-0.00571305,0.106903076171875,0.60052490234375
-0.005712699999999999,0.1093139648437532,0.5999755859375009
-0.00571235,0.111083984375,0.600494384765625
-0.005712,0.1123352050781227,0.6002807617187504
-0.00571165,0.113922119140625,0.600067138671875
-0.0057113,0.116180419921875,0.600250244140625
-0.005710949999999999,0.1178588867187532,0.600128173828125
-0.0057106,0.11962890625,0.60015869140625
-0.00571025,0.12164306640625,0.600189208984375
-0.0057099,0.12322998046875,0.600341796875
-0.00570955,0.1251220703125,0.600250244140625
-0.005709199999999999,0.1262817382812534,0.6001892089843752
-0.00570885,0.128173828125,0.600311279296875
-0.0057085,0.129974365234375,0.60009765625
-0.00570815,0.13201904296875,0.60040283203125
-0.0057078,0.133514404296875,0.600311279296875
-0.005707449999999999,0.1349182128906287,0.6003417968749996
-0.0057071,0.136962890625,0.60009765625
-0.00570675,0.138946533203125,0.6004638671875
-0.005706399999999999,0.140167236328125,0.6004638671875
-0.00570605,0.142242431640625,0.60028076171875
-0.005705699999999999,0.1438598632812523,0.6002197265624998
-0.00570535,0.145111083984375,0.60009765625
-0.005705,0.1468505859375,0.600006103515625
-0.005704649999999999,0.148834228515625,0.600250244140625
-0.0057043,0.15093994140625,0.600250244140625
-0.00570395,0.1524658203124972,0.6000671386718753
-0.0057036,0.1544189453125,0.600311279296875
-0.00570325,0.156219482421875,0.6004638671875
-0.005702899999999999,0.15753173828125,0.60040283203125
-0.00570255,0.158966064453125,0.600311279296875
-0.0057022,0.1610412597656212,0.6001892089843752
-0.00570185,0.162841796875,0.600494384765625
-0.0057015,0.1644287109375,0.60028076171875
-0.005701149999999999,0.166229248046875,0.60040283203125
-0.0057008,0.167938232421875,0.600128173828125
-0.00570045,0.1694641113281222,0.6004638671874993
-0.0057001,0.17132568359375,0.600433349609375
-0.00569975,0.172760009765625,0.600555419921875
-0.005699399999999999,0.17449951171875,0.60052490234375
-0.00569905,0.176300048828125,0.600067138671875
-0.0056987,0.1783447265624963,0.6003417968749996
-0.00569835,0.1796875,0.5999755859375
-0.005698,0.1820068359375,0.600433349609375
-0.005697649999999999,0.183197021484375,0.600006103515625
