#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-17 11:22:01.767
#Start: 10 Hz
#Stop: 1e+06 Hz
#Steps: 5001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49264 V
#Offset: 0.000293069 V
#Relative: no
#Channel: Channel 2
#Range: 5.52637 V
#Offset: 0.000302154 V
#Relative: yes

#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.005574963923871113,-38.38571954087621,88.46280939009664
10.02305238077898,-0.005652480695578459,-38.36087113190091,88.49663684546327
10.04615790278395,-0.005796127870073654,-38.33527303859141,88.46469617123108
10.06931668851804,-0.005827480929796301,-38.32576570740598,88.48254921096456
10.09252886076685,-0.005945549027201734,-38.30181468194765,88.4538800745969
10.11579454259898,-0.005812123491249604,-38.27857873292735,88.43421883562623
10.1391138573668,-0.005752588187626075,-38.2612196658477,88.43458964767126
10.16248692870695,-0.005680674168479401,-38.2456767643935,88.44932707820848
10.18591388054117,-0.005757233706441595,-38.22405977269839,88.43720300869343
10.20939483707681,-0.005791016439894102,-38.20252192361747,88.42355912305536
10.23292992280754,-0.005682132610961374,-38.18306219696615,88.43644197781308
10.25651926251408,-0.005761475208411972,-38.16514692786075,88.41512316943297
10.28016298126473,-0.005908436237550357,-38.1457151921387,88.42427469025661
10.30386120441616,-0.005941558591287489,-38.12285497838145,88.41663039459354
10.32761405761398,-0.005938867877938249,-38.10625221649253,88.42198596588689
10.35142166679343,-0.005863558930372178,-38.08439202835498,88.38427975640602
10.37528415818013,-0.005863274462319465,-38.0621672706928,88.44617405670576
10.39920165829058,-0.005657219766471048,-38.04675200547717,88.42879846243716
10.42317429393306,-0.005760842450342417,-38.02559932086407,88.39240245557055
10.447202192208,-0.005655840084526133,-38.00397150886489,88.40370914758527
10.47128548050899,-0.005701620741575368,-37.98792894351251,88.38996727985501
10.49542428652322,-0.005551418054782506,-37.96720979192538,88.42564941200848
10.51961873823224,-0.005783911640389257,-37.94086303294224,88.40686811040798
10.5438689639126,-0.005765357733004659,-37.92837048831305,88.37903712531329
10.56817509213658,-0.005706501956599691,-37.90996056903398,88.41519714028723
10.5925372517729,-0.005920287259657664,-37.9033563815261,88.39532758955156
10.61695557198724,-0.005793674572591207,-37.86879476327221,88.39139288527312
10.64143018224316,-0.00589956814517871,-37.84751523545874,88.36024091300069
10.66596121230259,-0.005865578006103432,-37.83278720506335,88.362494463724
10.69054879222658,-0.005912760342060558,-37.80715705402078,88.34831506058981
10.71519305237607,-0.005715743621293275,-37.79133032277699,88.36312636052155
10.73989412341244,-0.005729600157508972,-37.76395968241636,88.35605182233863
10.76465213629835,-0.00587467891914964,-37.74993051142791,88.35472153674036
10.7894672222983,-0.005775408160789808,-37.72918701769354,88.35344873933482
10.81433951297938,-0.0056827920430192,-37.70856219696612,88.33841032000832
10.83926914021204,-0.005714120024287795,-37.68253873089186,88.33540736209343
10.86425623617064,-0.005782173950585882,-37.67410421667761,88.357484522036
10.88930093333433,-0.005626186208438549,-37.64771284272329,88.32800479463158
10.91440336448757,-0.005658057841828678,-37.62533517184677,88.33502477725978
10.93956366272093,-0.005588442669604878,-37.61339233147454,88.31534435516032
10.96478196143185,-0.005599335565847282,-37.59171282536392,88.33541975495783
10.99005839432522,-0.005618528529649888,-37.5711495979101,88.32842241503383
11.01539309541415,-0.005765930863266692,-37.54696066768047,88.3493768182127
11.04078619902074,-0.005628023589370278,-37.52980081755182,88.30355720015085
11.06623783977668,-0.005663052489725932,-37.51402172618577,88.32040996917108
11.09174815262401,-0.005615023257856529,-37.4921088035404,88.29423685749467
11.11731727281592,-0.005628254229697419,-37.47038454356516,88.30348233973658
11.14294533591729,-0.005681084600798288,-37.45069898302559,88.29929112020349
11.16863247780561,-0.00574960731121711,-37.43328362905308,88.2981108274507
11.19437883467153,-0.005790706980509373,-37.41151975273873,88.31872365257193
11.22018454301963,-0.005772704494831429,-37.40027891348512,88.28323424592837
11.24604973966927,-0.005858468474005443,-37.37656921494572,88.2656554190439
11.27197456175509,-0.005785992243687501,-37.35185270478311,88.29050635266833
11.29795914672798,-0.005724289671863173,-37.33493449402012,88.31376645791929
11.32400363235558,-0.005705334811287223,-37.31345201795837,88.2735855732561
11.35010815672314,-0.005808051874747897,-37.29387096316489,88.27741991690039
11.37627285823431,-0.005663873790411407,-37.27884110716131,88.27505382119037
11.40249787561167,-0.00571630355643908,-37.25275089848645,88.23832773779476
11.42878334789771,-0.005785228083378947,-37.23780199664079,88.26247920009982
11.45512941445536,-0.005691494457806989,-37.2180201832925,88.2522875784579
11.48153621496884,-0.005656961403995568,-37.19662235351744,88.25689100470838
11.50800388944436,-0.005742906436391982,-37.17830657879589,88.2431530207041
11.53453257821091,-0.005621324720701987,-37.15316224750242,88.24347540376934
11.56112242192098,-0.005679129963234684,-37.13255615067063,88.23167698830973
11.58777356155126,-0.005804961594754105,-37.11434664350613,88.22593039917095
11.61448613840344,-0.005704388873651746,-37.0906419213635,88.24313617632804
11.64126029410491,-0.005752110908201787,-37.07917968872544,88.2141435233524
