#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2021-10-13 00:14:33.818
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 5001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49264 V
#Offset: 0.000293069 V
#Relative: no
#Channel: Channel 2
#Range: 5.52637 V
#Offset: 0.000302154 V
#Relative: yes

#Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
100,0.9989735208312915,0.9984433440532101,-0.7791708606691575
100.1843765724026,0.9989705120981893,0.9984532136557812,-0.7802238443917503
100.3690930920097,0.9989832815109985,0.9984464208328242,-0.7821076518072363
100.5541501856044,0.9989698598161432,0.9984477086297928,-0.7833974998537613
100.7395484811251,0.9989712105439811,0.9984466854506132,-0.7845087702235227
100.9252886076684,0.9989556117102296,0.9984602513243684,-0.7858771415798522
101.1113711954907,0.9989579346133892,0.9984432439440458,-0.7876783113216376
101.2977968760102,0.9989582440728588,0.998436421549858,-0.7892817079142777
101.4845662818096,0.9989547201968116,0.9984533928268461,-0.7907899042783406
101.6716800466376,0.9989784918054252,0.9984424422373035,-0.7915358563763607
101.8591388054117,0.9989649381267517,0.9984460455698582,-0.7934053763476409
102.0469431942199,0.9989721515642629,0.9984604555391763,-0.794818381173376
102.235093850323,0.9989495669893834,0.998457587727294,-0.796552573024617
102.4235914121569,0.9989652720126025,0.9984584320168924,-0.7977051890951284
102.6124365193342,0.9989598954706305,0.9984552723402649,-0.7995881338837364
102.8016298126473,0.9989636013423837,0.9984525283823904,-0.8008710248566722
102.9911719340699,0.998979597609217,0.998456053309789,-0.802422508327966
103.1810635267592,0.9989719721458247,0.9984618155684751,-0.8039559189539155
103.3713052350584,0.998948809261911,0.9984668751004835,-0.8054195263360295
103.5618977044986,0.9989736589262701,0.9984604671806949,-0.8071499977969383
103.7528415818013,0.9989741886473725,0.9984461451843163,-0.8078993070661827
103.9441375148801,0.9989849758661965,0.9984463431285719,-0.8097513002473411
104.1357861528434,0.9989922495000452,0.9984386331115259,-0.8111367099250704
104.3277881459966,0.9989910215193996,0.9984481630796,-0.8128049659146743
104.5201441458436,0.9989891863315912,0.9984396661832005,-0.8145291582266353
104.71285480509,0.9989849588866399,0.998446917237063,-0.8158292633899764
104.9059207776445,0.9989974378416371,0.9984409025482207,-0.8172491474856857
105.0993427186216,0.9989964622321766,0.9984495967171195,-0.819099352799834
105.293121284344,0.9990005083383118,0.9984620295451067,-0.8202459815668958
105.4872571323437,0.9989837963506496,0.9984718001073375,-0.8217258142767505
105.6817509213658,0.9990002938090774,0.9984682505642485,-0.823518743972107
105.8766033113697,0.999004108793741,0.9984641726282897,-0.8247067091760292
106.0718149635315,0.9990046349528976,0.9984659909276969,-0.8263117751746882
106.2673865402465,0.998991331234512,0.9984573874886873,-0.828096082765869
106.4633187051312,0.9989877793744979,0.9984702931573182,-0.8295716886476872
106.6596121230258,0.9989826974784028,0.9984765066480985,-0.8307329243533111
106.8562674599961,0.9989875523565608,0.9984777152129908,-0.8324445934216212
107.0532853833362,0.9989623362572694,0.9984772564575782,-0.833813345909421
107.2506665615704,0.9989825518634905,0.9984848428016453,-0.83560634428081
107.4484116644556,0.9989989484087506,0.9984645653186504,-0.8369786951934002
107.6465213629835,0.9990018365374029,0.9984423938050718,-0.8386682931853926
107.8449963293832,0.9989827617951808,0.998455522437553,-0.8401516056651775
108.043837237123,0.9989841455429784,0.9984756683372459,-0.841687095391082
108.2430447609131,0.9989756745977341,0.9984623410651968,-0.8434962543917861
108.4426195767075,0.9989892354584722,0.9984644322683679,-0.8445190636819184
108.6425623617066,0.9989960450719944,0.9984587020617306,-0.846841354255805
108.8428737943594,0.9990052786970303,0.9984426020145475,-0.847569707321379
109.0435545543659,0.998982510143812,0.9984728118017603,-0.8493098397269595
109.2446053226793,0.9989945954581823,0.9984656067515999,-0.8508220029826112
109.446026781508,0.9990080414804531,0.9984759493138324,-0.85276156973691
109.6478196143185,0.9989952424244869,0.9984682114504195,-0.8542545029990162
109.8499845058375,0.9990086918369101,0.9984655883092937,-0.8555254886929206
110.0525221420542,0.9990063453759159,0.9984580243771173,-0.8570746999595109
110.2554332102224,0.9989928621857416,0.9984775050646796,-0.8588396583908526
110.458718398863,0.9990091443282513,0.9984700119548784,-0.8604865241221369
110.6623783977666,0.9990003200715606,0.9984672022903262,-0.8620588237187633
110.8664138979956,0.9989972526242411,0.9984791873227853,-0.8631909617158762
111.0708255918864,0.9989988438160952,0.9984815494962406,-0.8649600724703607
111.2756141730521,0.9990111439715756,0.9984516861040585,-0.8668706381489226
111.4807803363843,0.9990138476465834,0.9984650446485196,-0.8682436111893104
111.6863247780561,0.999013521697333,0.9984789662702375,-0.8697809575489777
111.8922481955243,0.9990010679841081,0.9984726029647885,-0.8717437551177873
112.0985512875314,0.9989986980454922,0.998480029218306,-0.8733478173200993
112.3052347541083,0.9990185292535561,0.998468263449618,-0.8747410496708827
112.5122992965767,0.999012106077618,0.9984777555097305,-0.8764237165252643
112.719745617551,0.9989946084082899,0.9984813808679488,-0.8779006038813932
112.9275744209416,0.9990146076961832,0.9984897563310585,-0.8797209734173569
113.1357864119563,0.9990085584870094,0.9984768571274563,-0.8812854547461129
113.3443822971034,0.9990079599493272,0.9984844186546957,-0.8828724262323611
113.5533627841938,0.9990010154447658,0.9985124248910462,-0.8846252403200114
