#Digilent WaveForms Network Analyzer - Network
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-22 09:25:05.754

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000001,-12.31367246210158,28.9024293525204
1.004615790278397,-12.10956752115698,28.40867258721086
1.009252886076686,-12.03507601968395,28.23333230523928
1.01391138573668,-11.75501730478396,27.10875107037652
1.018591388054118,-11.65143060091319,27.09230620133837
1.023292992280755,-11.56709233778497,26.83526999169825
1.028016298126475,-11.55418842305135,26.94797250022427
1.032761405761399,-11.5751224586424,27.15548887107336
1.037528415818014,-11.6732023127785,27.73750211157156
1.042317429393305,-11.52814060150735,27.21016058555048
1.047128548050901,-11.52874208451284,27.33109553562119
1.051961873823223,-11.49992501787805,27.51734404566989
1.05681750921366,-11.2923002073952,26.83970144986311
1.061695557198726,-11.32712271714575,27.12766986673881
1.066596121230259,-11.33419642775655,27.2969416496918
1.071519305237607,-11.11113872439033,26.4982325536896
1.076465213629836,-11.11157872389546,26.73052563754179
1.081433951297939,-11.16562618937381,27.02847455841477
1.086425623617067,-10.9277549965894,26.26596549359718
1.091440336448758,-10.93987615126214,26.49349634303232
1.096478196143186,-10.88872087023826,26.44884743092257
1.101539309541416,-10.85126834025077,26.32281327805515
1.106623783977668,-10.79619584841956,26.38843530918456
1.111731727281592,-10.67140025909688,26.06318341172351
1.116863247780562,-10.69426440325077,26.18112057305498
1.122018454301965,-10.67225031219581,26.40205953589171
1.127197456175512,-10.73292646531298,26.68089442964632
1.132400363235558,-10.60648218212988,26.38145259682209
1.137627285823432,-10.47105542425292,26.06008496073507
1.142878334789772,-10.43301517660497,25.94982507458744
1.148153621496884,-10.54262365321881,26.47132211407906
1.153453257821093,-10.49611012633816,26.48909782738559
1.158777356155128,-10.6224085223625,27.13052624658793
1.164126029410492,-10.54084390961971,27.06891774635345
1.169499391019871,-10.50985184126953,26.86867496881545
1.17489755493953,-10.40917902374336,26.73364578474066
1.180320635651731,-10.46373165481314,27.06719368727715
1.185768748167161,-10.34705566483768,26.86752841874399
1.191242008027376,-10.14424927920229,26.11157816957417
1.196740531307244,-10.0826203891266,26.14939210200381
1.202264434617413,-9.949779079392265,25.7909221724232
1.207813835106781,-9.901537756376744,25.72923037632319
1.213388850464979,-9.856639529973473,25.74182246216687
1.218989598924867,-9.857603384589108,25.83020579148231
1.22461619926505,-9.729096871590029,25.46468897225503
1.230268770812382,-9.746689899149985,25.65150255488746
1.235947433444511,-9.77333444278193,25.9535946239282
1.241652307592412,-9.721385110444778,25.87765709596312
1.247383514242945,-9.72823749878912,26.10239820655687
1.253141174941417,-9.655847497073715,26.00294155504412
1.258925411794169,-9.492686151908533,25.53972307656923
1.264736347471152,-9.378682306445166,25.17054425637258
1.270574105208542,-9.396624409332055,25.33530849809404
1.276438808811345,-9.400010481626651,25.54853059543228
1.282330582656023,-9.404777691002591,25.75335027369013
1.288249551693135,-9.43526943051806,25.92615976357573
1.294195841449988,-9.389582216954565,25.90489126315566
1.300169578033291,-9.300027294455885,25.73728346336473
1.306170888131842,-9.142011267331089,25.3371671071878
1.312199899019204,-9.191160250308046,25.6395294832797
1.318256738556409,-9.052682410600992,25.24951186282853
1.324341535194666,-9.023938154014967,25.20034607478054
1.330454417978093,-8.974668499737019,25.16048535036918
1.336595516546443,-9.003280983815044,25.43064267116236
1.342764961137864,-8.950265636677235,25.43121307913261
1.348962882591655,-8.932740999863501,25.51599398651906
1.355189412351038,-8.776590327604559,25.05696037150253
1.361444682465951,-8.776419407138933,25.23635155573124
1.367728825595851,-8.714121832516291,25.08995904955498
1.374041975012516,-8.631071798818452,24.95188365845646
