#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-22 11:36:18.393

Time (s),Channel 2 (V)
-0.7498482480107527,-0.6917726061047372
-0.7496651380107526,-0.6917726061047372
-0.7494820280107526,-0.6917726061047372
-0.7492989180107527,-0.6917726061047372
-0.7491158080107526,-0.6917726061047372
-0.7489326980107527,-0.6917726061047372
-0.7487495880107526,-0.6917726061047372
-0.7485664780107526,-0.6917726061047372
-0.7483833680107527,-0.6917726061047372
-0.7482002580107526,-0.6917726061047372
-0.7480171480107526,-0.6917726061047372
-0.7478340380107527,-0.6917726061047372
-0.7476509280107526,-0.6914353034452997
-0.7474678180107527,-0.6917726061047372
-0.7472847080107526,-0.6917726061047372
-0.7471015980107526,-0.6917726061047372
-0.7469184880107527,-0.6917726061047372
-0.7467353780107526,-0.6917726061047372
-0.7465522680107526,-0.6917726061047372
-0.7463691580107527,-0.6917726061047372
-0.7461860480107526,-0.6917726061047372
-0.7460029380107527,-0.6914353034452997
-0.7458198280107526,-0.6917726061047372
-0.7456367180107526,-0.6917726061047372
-0.7454536080107527,-0.6917726061047372
-0.7452704980107526,-0.6917726061047372
-0.7450873880107526,-0.6921099087641748
-0.7449042780107527,-0.6917726061047372
-0.7447211680107526,-0.6917726061047372
-0.7445380580107527,-0.6917726061047372
-0.7443549480107526,-0.6917726061047372
-0.7441718380107526,-0.6917726061047372
-0.7439887280107527,-0.6917726061047372
-0.7438056180107526,-0.6917726061047372
-0.7436225080107526,-0.6917726061047372
-0.7434393980107527,-0.6917726061047372
-0.7432562880107526,-0.6917726061047372
-0.7430731780107527,-0.6917726061047372
-0.7428900680107526,-0.6917726061047372
-0.7427069580107526,-0.6917726061047372
-0.7425238480107527,-0.6917726061047372
-0.7423407380107526,-0.6917726061047372
-0.7421576280107527,-0.6914353034452997
-0.7419745180107526,-0.6917726061047372
-0.7417914080107526,-0.6917726061047372
-0.7416082980107527,-0.6917726061047372
-0.7414251880107526,-0.6921099087641748
-0.7412420780107526,-0.6917726061047372
-0.7410589680107527,-0.6917726061047372
-0.7408758580107526,-0.6917726061047372
-0.7406927480107527,-0.6917726061047372
-0.7405096380107526,-0.6917726061047372
-0.7403265280107526,-0.6917726061047372
-0.7401434180107527,-0.6917726061047372
-0.7399603080107526,-0.6917726061047372
-0.7397771980107526,-0.6917726061047372
-0.7395940880107527,-0.6917726061047372
-0.7394109780107526,-0.6917726061047372
-0.7392278680107527,-0.6917726061047372
-0.7390447580107526,-0.6917726061047372
-0.7388616480107526,-0.6917726061047372
-0.7386785380107527,-0.6917726061047372
