#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-21 21:07:24.370

Time (s),Channel 2 (V)
-0.02559565217391304,-0.0006394569172106786
-0.02558940217391304,-0.000976759576648222
-0.02558315217391304,-0.001314062236085765
-0.02557690217391304,-0.000976759576648222
-0.02557065217391304,-0.000976759576648222
-0.02556440217391304,-0.001314062236085765
-0.02555815217391304,-0.001314062236085765
-0.02555190217391304,-0.000976759576648222
-0.02554565217391304,-0.000976759576648222
-0.02553940217391304,-0.000976759576648222
-0.02553315217391304,-0.001314062236085765
-0.02552690217391304,-0.000976759576648222
-0.02552065217391304,-0.000976759576648222
-0.02551440217391304,-0.000976759576648222
-0.02550815217391304,-0.0006394569172106786
-0.02550190217391304,-0.0006394569172106786
-0.02549565217391304,-0.0003021542577731351
-0.02548940217391304,-0.0003021542577731351
-0.02548315217391304,-0.0006394569172106786
-0.02547690217391304,-0.0006394569172106786
-0.02547065217391304,-0.0003021542577731351
-0.02546440217391304,-0.0003021542577731351
-0.02545815217391304,-0.0006394569172106786
-0.02545190217391304,-0.0003021542577731351
-0.02544565217391304,-0.0003021542577731351
-0.02543940217391304,-0.0006394569172106786
-0.02543315217391304,-0.0003021542577731351
-0.02542690217391304,3.514840166440837e-05
-0.02542065217391304,3.514840166440837e-05
-0.02541440217391304,3.514840166440837e-05
-0.02540815217391304,-0.0003021542577731351
-0.02540190217391304,-0.0006394569172106786
-0.02539565217391304,-0.000976759576648222
-0.02538940217391304,-0.0006394569172106786
-0.02538315217391304,-0.0006394569172106786
-0.02537690217391304,-0.000976759576648222
-0.02537065217391304,-0.000976759576648222
-0.02536440217391304,-0.0006394569172106786
-0.02535815217391304,-0.0006394569172106786
-0.02535190217391304,-0.0003021542577731351
-0.02534565217391304,-0.0003021542577731351
-0.02533940217391304,-0.0006394569172106786
-0.02533315217391304,-0.0003021542577731351
-0.02532690217391304,-0.0006394569172106786
-0.02532065217391304,-0.0006394569172106786
-0.02531440217391304,-0.0003021542577731351
-0.02530815217391304,-0.0006394569172106786
-0.02530190217391304,-0.0006394569172106786
-0.02529565217391304,-0.000976759576648222
-0.02528940217391304,-0.0006394569172106786
-0.02528315217391304,-0.000976759576648222
-0.02527690217391304,-0.001314062236085765
-0.02527065217391304,-0.000976759576648222
-0.02526440217391304,-0.000976759576648222
-0.02525815217391304,-0.000976759576648222
-0.02525190217391304,-0.000976759576648222
-0.02524565217391304,-0.001314062236085765
-0.02523940217391304,-0.001651364895523309
-0.02523315217391304,-0.001651364895523309
-0.02522690217391304,-0.000976759576648222
-0.02522065217391304,-0.001651364895523309
-0.02521440217391304,-0.001314062236085765
-0.02520815217391304,-0.001314062236085765
-0.02520190217391304,-0.001314062236085765
-0.02519565217391304,-0.001314062236085765
-0.02518940217391304,-0.001651364895523309
-0.02518315217391304,-0.001651364895523309
-0.02517690217391304,-0.001651364895523309
-0.02517065217391304,-0.001314062236085765
-0.02516440217391304,-0.000976759576648222
-0.02515815217391304,-0.000976759576648222
-0.02515190217391304,-0.001314062236085765
-0.02514565217391304,-0.0006394569172106786
-0.02513940217391304,-0.001314062236085765
-0.02513315217391304,-0.000976759576648222
-0.02512690217391304,-0.000976759576648222
-0.02512065217391304,-0.000976759576648222
-0.02511440217391304,-0.0003021542577731351
-0.02510815217391304,-0.0006394569172106786
-0.02510190217391304,-0.0003021542577731351
-0.02509565217391304,-0.0003021542577731351
-0.02508940217391304,-0.0003021542577731351
-0.02508315217391304,-0.0006394569172106786
-0.02507690217391304,-0.0006394569172106786
-0.02507065217391304,-0.0006394569172106786
-0.02506440217391304,-0.000976759576648222
-0.02505815217391304,-0.000976759576648222
-0.02505190217391304,-0.000976759576648222
-0.02504565217391304,-0.000976759576648222
-0.02503940217391304,-0.001314062236085765
-0.02503315217391304,-0.000976759576648222
-0.02502690217391304,-0.001314062236085765
-0.02502065217391304,-0.0003021542577731351
-0.02501440217391304,-0.0003021542577731351
-0.02500815217391304,-0.000976759576648222
-0.02500190217391304,-0.001314062236085765
-0.02499565217391304,-0.001314062236085765
-0.02498940217391304,-0.000976759576648222
-0.02498315217391304,-0.000976759576648222
-0.02497690217391304,-0.000976759576648222
-0.02497065217391304,-0.000976759576648222
-0.02496440217391304,-0.000976759576648222
-0.02495815217391304,-0.001651364895523309
-0.02495190217391304,-0.001651364895523309
-0.02494565217391304,-0.000976759576648222
-0.02493940217391304,-0.0003021542577731351
-0.02493315217391304,-0.000976759576648222
-0.02492690217391304,-0.000976759576648222
-0.02492065217391304,-0.000976759576648222
-0.02491440217391304,-0.001314062236085765
-0.02490815217391304,-0.000976759576648222
-0.02490190217391304,-0.000976759576648222
-0.02489565217391304,-0.0003021542577731351
-0.02488940217391304,-0.0003021542577731351
-0.02488315217391304,-0.0006394569172106786
-0.02487690217391304,-0.0006394569172106786
-0.02487065217391304,-0.001314062236085765
-0.02486440217391304,-0.000976759576648222
-0.02485815217391304,-0.0006394569172106786
-0.02485190217391304,-0.0003021542577731351
-0.02484565217391304,-0.000976759576648222
-0.02483940217391304,-0.000976759576648222
-0.02483315217391304,-0.0006394569172106786
-0.02482690217391304,-0.000976759576648222
-0.02482065217391304,-0.0006394569172106786
-0.02481440217391304,-0.000976759576648222
-0.02480815217391304,-0.001651364895523309
-0.02480190217391304,-0.001651364895523309
-0.02479565217391304,-0.001314062236085765
-0.02478940217391304,-0.001314062236085765
-0.02478315217391304,-0.000976759576648222
-0.02477690217391304,-0.001314062236085765
-0.02477065217391304,-0.001314062236085765
-0.02476440217391304,-0.001314062236085765
-0.02475815217391304,-0.001314062236085765
-0.02475190217391304,-0.000976759576648222
-0.02474565217391304,-0.000976759576648222
