#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-05 17:05:51.213
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 501 mV/div Offset: 200 mV Attenuation: 1 X
#Math 1: Function: C2/217
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °

#Time (s),Channel 1 (V),Math 1 (A)
-0.002838333333333334,1.843219178895033,0.002006879639334254
-0.002835833333333333,1.850592882972547,0.002086153536252755
-0.002833333333333333,1.850592882972545,0.002168536213442604
-0.002830833333333334,1.846906030933789,0.002244701330089757
-0.002828333333333333,1.850592882972547,0.002330192787550885
-0.002825833333333334,1.854279735011304,0.002409466684469386
-0.002823333333333333,1.861653439088818,0.002491849361659201
-0.002820833333333334,1.857966587050063,0.002571123258577666
-0.002818333333333333,1.861653439088818,0.002647288375224889
-0.002815833333333333,1.86165343908882,0.002732779832686057
-0.002813333333333333,1.865340291127575,0.002818271290147146
-0.002810833333333333,1.869027143166333,0.002897545187065685
-0.002808333333333334,1.869027143166333,0.002981482254391119
-0.002805833333333333,1.869027143166333,0.003063864931580933
-0.002803333333333334,1.87271399520509,0.003143138828499435
-0.002800833333333333,1.87271399520509,0.003227075895824906
-0.002798333333333334,1.880087699282601,0.003307904182879027
-0.002795833333333333,1.880087699282604,0.003388732469933221
-0.002793333333333333,1.883774551321361,0.003471115147123076
-0.002790833333333334,1.883774551321361,0.003556606604584165
-0.002788333333333333,1.883774551321361,0.003637434891638361
-0.002785833333333334,1.883774551321361,0.003719817568828138
-0.002783333333333333,1.883774551321361,0.003802200246017952
-0.002780833333333334,1.883774551321361,0.003887691703479042
-0.002778333333333333,1.891148255398875,0.003970074380668896
-0.002775833333333334,1.891148255398875,0.004050902667723018
-0.002773333333333333,1.891148255398875,0.004139502905455496
-0.002770833333333333,1.894835107437634,0.004217222412238378
-0.002768333333333334,1.89852195947639,0.004301159479563812
-0.002765833333333333,1.89852195947639,0.00438665093702494
-0.002763333333333334,1.89852195947639,0.004469033614214755
-0.002760833333333333,1.902208811515147,0.00455141629140457
-0.002758333333333334,1.902208811515147,0.004636907748865659
-0.002755833333333333,1.909582515592661,0.004719290426055512
-0.002753333333333334,1.909582515592661,0.004806336273652258
-0.002750833333333333,1.909582515592661,0.004884055780435143
-0.002748333333333333,1.913269367631417,0.004969547237896309
-0.002745833333333334,1.909582515592661,0.005053484305221742
-0.002743333333333333,1.913269367631418,0.005135866982411558
-0.002740833333333334,1.916956219670175,0.005222912830008343
-0.002738333333333333,1.916956219670175,0.005305295507198158
-0.002735833333333334,1.916956219670175,0.005389232574523592
-0.002733333333333333,1.916956219670175,0.005476278422120415
-0.002730833333333333,1.920643071708933,0.005555552319038955
-0.002728333333333333,1.920643071708933,0.005641043776500045
-0.002725833333333333,1.92432992374769,0.005726535233961211
-0.002723333333333334,1.92432992374769,0.005808917911150988
-0.002720833333333333,1.928016775786447,0.005894409368612117
-0.002718333333333334,1.931703627825204,0.005978346435937587
-0.002715833333333333,1.931703627825204,0.006063837893398715
-0.002713333333333334,1.931703627825204,0.006150883740995461
-0.002710833333333333,1.931703627825204,0.006231712028049659
-0.002708333333333333,1.935390479863961,0.006312540315103857
-0.002705833333333334,1.935390479863961,0.006401140552836259
-0.002703333333333333,1.939077331902718,0.006478860059619143
-0.002700833333333334,1.939077331902718,0.006567460297351546
-0.002698333333333333,1.939077331902718,0.006652951754812675
-0.002695833333333334,1.942764183941474,0.006736888822138108
-0.002693333333333333,1.939077331902718,0.006822380279599275
-0.002690833333333334,1.942764183941474,0.006909426127196021
-0.002688333333333333,1.939077331902718,0.006991808804385875
-0.002685833333333333,1.946451035980235,0.007078854651982698
-0.002683333333333334,1.95013788801899,0.007158128548901162
-0.002680833333333333,1.946451035980233,0.007245174396497947
-0.002678333333333334,1.953824740057747,0.007329111463823419
-0.002675833333333333,1.95013788801899,0.007413048531148891
-0.002673333333333334,1.957511592096501,0.00750320315901695
-0.002670833333333333,1.961198444135261,0.007590249006613774
-0.002668333333333334,1.95382474005775,0.007671077293667896
-0.002665833333333333,1.957511592096504,0.007755014360993404
-0.002663333333333333,1.957511592096504,0.007838951428318914
-0.002660833333333334,1.957511592096504,0.007922888495644346
-0.002658333333333333,1.964885296174018,0.008014597513648103
-0.002655833333333334,1.961198444135261,0.008098534580973576
-0.002653333333333333,1.964885296174018,0.008184026038434704
-0.002650833333333334,1.968572148212774,0.008266408715624481
-0.002648333333333333,1.968572148212775,0.008353454563221304
-0.002645833333333333,1.964885296174018,0.008435837240411161
-0.002643333333333333,1.964885296174018,0.008525991868279218
-0.002640833333333333,1.964885296174022,0.008609928935604728
-0.002638333333333334,1.972259000251533,0.008693866002930161
-0.002635833333333333,1.972259000251533,0.008777803070255634
-0.002633333333333334,1.97594585229029,0.008866403307988076
-0.002630833333333333,1.97594585229029,0.008953449155584861
-0.002628333333333334,1.979632704329045,0.009035831832774639
-0.002625833333333333,1.979632704329047,0.009122877680371462
-0.002623333333333333,1.97594585229029,0.009143084752134965
-0.002620833333333334,1.97594585229029,0.009062256465080843
-0.002618333333333333,1.97594585229029,0.00897521061748402
-0.002615833333333334,1.97594585229029,0.00888971916002293
-0.002613333333333333,1.972259000251533,0.008802673312426144
