#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-07 18:01:22.390

#Channel 1 (V),Math 1 (A)
2.465902909827445,-2.781704824060501e-05
2.465902909827445,-2.781704824060501e-05
2.462216057788692,-3.403460878322952e-05
2.454842353711181,-2.93714383762626e-05
2.46221605778869,-3.248021864757639e-05
2.451155501672432,-3.248021864757639e-05
2.447468649633672,-3.403460878323235e-05
2.451155501672427,-3.714338905454604e-05
2.447468649633674,-3.403460878323376e-05
2.443781797594822,-3.558899891889018e-05
2.443781797594822,-3.248021864757639e-05
2.436408093517317,-3.403460878323164e-05
2.432721241478558,-3.714338905454604e-05
2.432721241478558,-3.248021864757639e-05
2.432721241478558,-3.403460878323164e-05
2.429034389439804,-3.403460878323235e-05
2.429034389439804,-3.558899891889018e-05
2.421660685362296,-3.403460878323305e-05
2.425347537401046,-3.403460878323235e-05
2.429034389439804,-3.403460878323235e-05
2.417973833323543,-3.558899891888947e-05
2.414286981284785,-3.403460878323305e-05
2.414286981284783,-3.092582851191867e-05
2.406913277207272,-3.714338905454321e-05
2.406913277207269,-4.025216932585867e-05
2.403226425168514,-3.092582851191867e-05
2.403226425168514,-2.937143837626331e-05
2.395852721091008,-3.714338905454251e-05
2.399539573129759,-2.93714383762626e-05
2.388479017013498,-3.558899891888735e-05
2.395852721091001,-3.092582851192079e-05
2.392165869052248,-3.248021864757639e-05
2.388479017013495,-3.092582851191938e-05
2.384792164974741,-3.248021864757569e-05
2.377418460897229,-3.092582851191867e-05
2.377418460897229,-3.403460878323093e-05
2.377418460897229,-3.558899891888947e-05
2.37373160885845,-3.403460878323235e-05
2.366357904780944,-3.558899891888947e-05
2.373731608858447,-3.869777919020236e-05
2.358984200703431,-3.714338905454604e-05
2.362671052742184,-3.558899891889088e-05
2.358984200703433,-3.092582851192079e-05
2.358984200703431,-3.714338905454604e-05
2.351610496625924,-2.781704824060925e-05
2.355297348664673,-3.403460878322952e-05
2.347923644587166,-3.558899891889018e-05
2.344236792548412,-3.248021864757781e-05
2.336863088470899,-3.248021864757639e-05
2.336863088470895,-3.248021864757639e-05
2.329489384393389,-3.714338905454392e-05
2.329489384393386,-3.248021864757851e-05
2.336863088470895,-3.403460878323235e-05
2.322115680315883,-2.937143837626472e-05
2.318428828277121,-3.248021864757497e-05
