#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-07 17:55:00.263

#Channel 1 (V),Math 1 (A)
2.458529205749936,-2.004509756232118e-05
2.454104983303333,-2.097773164371525e-05
2.451155501672428,-2.439738994215884e-05
2.451155501672427,-2.159948769797779e-05
2.446731279225824,-2.408651191502902e-05
2.443781797594824,-2.781704824060331e-05
2.441569686371619,-2.781704824060501e-05
2.442307056779367,-3.061495048478818e-05
2.443781797594821,-3.248021864757554e-05
2.441569686371619,-2.968231640339423e-05
2.437882834332859,-2.874968232199893e-05
2.431983871070785,-3.123670653904921e-05
2.429034389439804,-3.341285272897031e-05
2.429034389439804,-3.310197470183858e-05
2.429034389439804,-3.434548681036354e-05
2.424610166993273,-3.279109667470808e-05
2.417236462915764,-3.279109667470812e-05
2.416499092508013,-3.589987694602056e-05
2.415761722100331,-3.527812089175827e-05
2.409862758838254,-3.403460878323235e-05
2.40691327720727,-3.589987694602113e-05
2.402489054760748,-3.807602313593905e-05
2.399539573129759,-3.496724286462623e-05
2.399539573129759,-3.621075497315172e-05
2.399539573129759,-3.496724286462679e-05
2.397327461906534,-3.248021864757639e-05
2.391428498644478,-3.248021864757639e-05
2.386266905790273,-3.434548681036326e-05
2.384792164974739,-3.372373075610204e-05
2.382580053751515,-3.434548681036382e-05
2.381105312935985,-3.465636483749624e-05
2.37446897926616,-3.589987694602198e-05
2.370044756819698,-3.621075497315214e-05
2.367832645596497,-3.745426708167731e-05
2.368570016004201,-3.496724286462623e-05
2.367832645596497,-3.341285272897102e-05
2.364145793557737,-3.589987694602085e-05
2.362671052742186,-3.527812089175799e-05
2.367095275188648,-3.310197470183957e-05
2.361196311926694,-3.248021864757668e-05
2.350873126218175,-3.341285272897031e-05
2.347923644587167,-3.21693406204448e-05
2.343499422140668,-3.185846259331271e-05
2.342762051732896,-3.434548681036411e-05
2.342024681325207,-3.558899891888961e-05
2.336125718063158,-3.279109667470935e-05
2.330964125208943,-3.465636483749638e-05
2.327277273170091,-3.341285272897087e-05
2.328014643577879,-3.37237307561019e-05
2.329489384393386,-3.558899891889018e-05
2.325065161946894,-3.465636483749681e-05
2.322115680315878,-3.403460878323263e-05
2.324327791539123,-3.310197470183858e-05
2.321378309908133,-3.061495048478931e-05
2.318428828277121,-3.310197470183745e-05
2.311792494607302,-3.372373075610204e-05
2.305156160937562,-3.341285272897045e-05
2.305893531345345,-3.496724286462552e-05
2.302944049714358,-3.372373075610204e-05
2.299994568083297,-3.248021864757695e-05
2.295570345636851,-3.341285272896989e-05
2.292620864005788,-3.310197470183858e-05
2.292620864005788,-3.434548681036354e-05
2.285984530336022,-3.372373075610233e-05
2.279348196666269,-3.434548681036411e-05
2.275661344627517,-3.558899891888961e-05
2.27197449258876,-3.372373075610289e-05
2.270499751773261,-3.621075497315228e-05
2.266075529326788,-3.496724286462679e-05
2.267550270142239,-3.248021864757752e-05
2.266075529326786,-3.154758456618258e-05
2.260913936472496,-3.465636483749497e-05
2.259439195656993,-3.341285272897087e-05
2.257227084433739,-3.279109667470812e-05
2.253540232394961,-3.589987694602056e-05
2.247641269133009,-3.434548681036478e-05
2.246903898725172,-3.341285272897031e-05
2.24616652831745,-3.589987694602085e-05
2.242479676278696,-3.434548681036478e-05
2.24100493546322,-3.248021864757639e-05
2.238792824239941,-3.341285272896989e-05
2.235105972201186,-3.403460878323206e-05
2.229207008939232,-3.030407245765655e-05
2.228469638531393,-3.248021864757639e-05
2.225520156900479,-3.465636483749539e-05
2.222570675269423,-3.403460878323235e-05
2.222570675269423,-3.310197470183858e-05
2.220358564046165,-3.341285272897017e-05
2.216671712007404,-3.310197470183858e-05
2.215196971191915,-3.154758456618258e-05
2.210772748745356,-3.279109667470756e-05
2.203399044667845,-3.496724286462623e-05
2.200449563036897,-3.279109667470808e-05
2.20266167426011,-3.092582851191952e-05
2.201924303852384,-3.092582851191867e-05
2.198237451813628,-2.999319443052491e-05
2.192338488551581,-3.310197470183717e-05
2.191601118143821,-3.465636483749638e-05
2.195287970182576,-3.310197470183858e-05
2.194550599774873,-3.248021864757668e-05
2.190863747736118,-3.341285272897031e-05
2.184964784474069,-3.12367065390503e-05
2.184227414066313,-3.310197470183774e-05
2.179065821212121,-3.558899891889018e-05
2.172429487542317,-3.279109667470808e-05
2.173166857950047,-3.465636483749554e-05
2.172429487542317,-3.341285272897031e-05
2.166530524280289,-3.092582851191867e-05
2.163581042649348,-3.465636483749469e-05
2.161368931426054,-3.434548681036407e-05
2.159894190610592,-3.341285272897031e-05
2.155469968164025,-3.403460878323206e-05
2.156944708979567,-3.403460878323235e-05
2.155469968164023,-3.216934062044423e-05
2.152520486532977,-3.279109667470784e-05
2.150308375309791,-3.589987694602198e-05
2.144409412047759,-3.621075497315228e-05
